date,open,high,low,close,close_adj,volume,div,split
2021-12-16,89.75,90.31,89.27,89.64,89.64,1364574.0,0.0,1.0
2021-12-15,88.89,89.41,88.23,88.27,88.27,794212.0,0.0,1.0
2021-12-14,89.98,90.04,88.22,88.4,88.4,1116145.0,0.0,1.0
2021-12-13,89.8,91.88,89.55,89.88,89.88,1086537.0,0.0,1.0
2021-12-10,89.53,90.19,88.95,89.66,89.66,1415043.0,0.0,1.0
2021-12-09,91.49,91.87,90.0,90.22,90.22,1050166.0,0.0,1.0
2021-12-08,90.85,91.21,89.13,91.13,91.13,1338471.0,0.0,1.0
2021-12-07,88.42,88.42,88.42,88.42,88.42,0.0,0.0,1.0
2021-12-06,88.03,88.8,86.82,88.42,88.42,1100120.0,0.0,1.0
2021-12-03,89.53,89.61,87.14,87.5,87.5,1385089.0,0.0,1.0
2021-12-02,87.47,88.87,87.07,88.43,88.43,1325406.0,0.0,1.0
2021-12-01,85.99,88.92,85.58,88.64,88.64,1482489.0,0.0,1.0
2021-11-30,84.95,85.6,83.38,84.98,84.98,2252523.0,0.0,1.0
2021-11-29,86.0,87.98,85.17,85.78,85.78,1759480.0,0.0,1.0
2021-11-26,87.98,88.07,85.51,85.51,85.51,2597218.0,0.0,1.0
2021-11-25,92.85,93.02,90.72,91.13,91.13,803234.0,0.0,1.0
2021-11-24,94.23,94.83,91.81,92.49,92.49,1403839.0,0.0,1.0
2021-11-23,94.0,94.76,93.39,94.44,94.44,1204668.0,0.0,1.0
2021-11-22,93.32,95.2,93.25,94.78,94.78,1208270.0,0.0,1.0
2021-11-19,95.0,95.44,92.36,93.2,93.2,2007293.0,0.0,1.0
2021-11-18,93.83,94.98,93.18,94.2,94.2,1141842.0,0.0,1.0
2021-11-17,93.36,93.99,92.44,93.62,93.62,822593.0,0.0,1.0
2021-11-16,93.76,94.57,92.75,93.21,93.21,1018397.0,0.0,1.0
2021-11-15,92.9,93.72,92.74,93.48,93.48,862865.0,0.0,1.0
2021-11-12,92.5,93.14,91.92,93.02,93.02,960929.0,0.0,1.0
2021-11-11,91.78,92.52,91.53,92.33,92.33,993417.0,0.0,1.0
2021-11-10,90.67,91.82,90.06,91.76,91.76,847559.0,0.0,1.0
2021-11-09,91.3,91.57,90.39,90.66,90.66,903644.0,0.0,1.0
2021-11-08,91.73,91.81,90.76,91.09,91.09,845001.0,0.0,1.0
2021-11-05,89.85,92.32,89.65,91.85,91.85,1470209.0,0.0,1.0
2021-11-04,90.0,91.44,89.22,89.99,89.99,1405533.0,0.0,1.0
2021-11-03,88.0,90.0,87.33,89.96,89.96,1766650.0,0.0,1.0
2021-11-02,88.08,88.64,87.69,88.64,88.64,827849.0,0.0,1.0
2021-11-01,87.46,88.8,87.4,88.28,88.28,968616.0,0.0,1.0
2021-10-29,86.77,87.51,86.13,87.24,87.24,1452431.0,0.0,1.0
2021-10-28,87.82,88.1,87.0,87.34,87.34,865069.0,0.0,1.0
2021-10-27,88.15,88.96,87.72,88.55,88.55,758432.0,0.0,1.0
2021-10-26,87.9,89.01,87.13,88.42,88.42,1190398.0,0.0,1.0
2021-10-25,85.58,87.73,85.46,87.54,87.54,1491635.0,0.0,1.0
2021-10-22,84.32,86.2,84.07,85.69,85.69,971980.0,0.0,1.0
2021-10-21,83.5,85.29,83.36,84.24,84.24,996665.0,0.0,1.0
2021-10-20,85.12,86.04,83.26,84.67,84.67,1537684.0,0.0,1.0
2021-10-19,86.6,86.66,85.37,85.46,85.46,1013245.0,0.0,1.0
2021-10-18,87.46,87.81,85.99,86.37,86.37,1022068.0,0.0,1.0
2021-10-15,86.66,87.75,86.4,87.56,87.56,1307758.0,0.0,1.0
2021-10-14,86.7,87.03,86.12,86.36,86.36,831858.0,0.0,1.0
2021-10-13,86.6,87.59,85.66,85.82,85.82,1014845.0,0.0,1.0
2021-10-12,86.0,87.01,85.7,86.5,86.5,1304012.0,0.0,1.0
2021-10-11,84.35,86.68,84.15,86.57,86.57,1598749.0,0.0,1.0
2021-10-08,83.78,84.88,83.64,84.68,84.68,1213523.0,0.0,1.0
2021-10-07,82.82,84.24,82.56,83.45,83.45,1418603.0,0.0,1.0
2021-10-06,82.81,82.91,80.64,81.61,81.61,1710893.0,0.0,1.0
2021-10-05,83.5,83.84,82.69,83.71,83.71,942612.0,0.0,1.0
2021-10-04,83.68,84.29,82.93,83.42,83.42,966428.0,0.0,1.0
2021-10-01,81.82,84.47,81.15,83.83,83.83,2064447.0,0.0,1.0
2021-09-30,84.75,84.9,82.59,82.76,82.76,1558858.0,0.0,1.0
2021-09-29,83.5,84.85,83.12,84.47,84.47,1600490.0,0.0,1.0
2021-09-28,82.99,84.8,82.55,82.69,82.69,1934260.0,0.0,1.0
2021-09-27,82.32,82.96,82.15,82.69,82.69,1303448.0,0.0,1.0
2021-09-24,80.82,81.99,80.0,81.59,81.59,909760.0,0.0,1.0
2021-09-23,82.15,82.41,80.8,81.35,81.35,1331540.0,0.0,1.0
2021-09-22,79.9,81.58,79.52,81.46,81.46,1232081.0,0.0,1.0
2021-09-21,78.52,79.87,78.48,78.92,78.92,1281674.0,0.0,1.0
2021-09-20,78.55,78.83,76.55,77.89,77.89,2263689.0,0.0,1.0
2021-09-17,82.84,83.04,80.05,80.36,80.36,3110288.0,0.0,1.0
2021-09-16,83.47,83.77,82.07,82.07,82.07,1368105.0,0.0,1.0
2021-09-15,82.01,83.47,81.93,83.09,83.09,1726674.0,0.0,1.0
2021-09-14,81.74,83.04,81.55,82.15,82.15,1221496.0,0.0,1.0
2021-09-13,80.0,81.79,79.89,81.63,81.63,1523795.0,0.0,1.0
2021-09-10,78.5,79.5,78.12,79.15,79.15,870239.0,0.0,1.0
2021-09-09,78.0,79.01,77.77,78.64,78.64,1268472.0,0.0,1.0
2021-09-08,80.0,80.06,78.29,78.61,78.61,1368573.0,0.0,1.0
2021-09-07,79.9,80.98,79.83,80.47,80.47,1024387.0,0.0,1.0
2021-09-06,79.51,80.34,79.46,79.85,79.85,588953.0,0.0,1.0
2021-09-03,79.9,80.3,79.02,79.4,79.4,1009621.0,0.0,1.0
2021-09-02,79.69,80.0,79.3,79.42,79.42,808924.0,0.0,1.0
2021-09-01,81.34,81.56,79.15,79.47,79.47,1310032.0,0.0,1.0
2021-08-31,79.48,81.18,79.44,80.37,80.37,2253954.0,0.0,1.0
2021-08-30,78.6,79.24,77.78,79.05,79.05,1169183.0,0.0,1.0
